Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Markus,1,11,Markus 1:11,وَكَانَ صَوْتٌ مِنَ ٱلسَّمَاوَاتِ: «أَنْتَ ٱبْنِي ٱلْحَبِيبُ ٱلَّذِي بِهِ سُرِرْتُ».,"Dan, suatu suara datang dari surga, “Engkau adalah Anak-Ku yang terkasih. Kepada-Mu Aku berkenan.”","Kemudian, terdengarlah suara dari surga, “Engkaulah Sang Anak yang Kukasihi, kepada-Mulah Aku berkenan.”",
Markus,1,12,Markus 1:12,وَلِلْوَقْتِ أَخْرَجَهُ ٱلرُّوحُ إِلَى ٱلْبَرِّيَّةِ،,"Dengan segera, Roh membawa Yesus ke padang belantara.","Segera setelah itu, Ruh Allah membawa Isa ke padang belantara.",
Markus,1,13,Markus 1:13,وَكَانَ هُنَاكَ فِي ٱلْبَرِّيَّةِ أَرْبَعِينَ يَوْمًا يُجَرَّبُ مِنَ ٱلشَّيْطَانِ. وَكَانَ مَعَ ٱلْوُحُوشِ. وَصَارَتِ ٱلْمَلَائِكَةُ تَخْدِمُهُ.,"Dia berada di padang belantara selama empat puluh hari dan dicobai oleh setan , dan Dia ada bersama dengan binatang-binatang liar, dan para malaikat melayani Dia.","Di tempat itu Ia tinggal selama empat puluh hari, digoda oleh Iblis. Ia tinggal bersama-sama dengan binatang-binatang buas, dan para malaikat melayani-Nya.",
Markus,1,14,Markus 1:14,وَبَعْدَمَا أُسْلِمَ يُوحَنَّا جَاءَ يَسُوعُ إِلَى ٱلْجَلِيلِ يَكْرِزُ بِبِشَارَةِ مَلَكُوتِ ٱللهِ,"Sesudah Yohanes ditangkap, Yesus datang ke wilayah Galilea, memberitakan Injil Allah.","Setelah Yahya ditangkap, Isa pergi ke Galilea untuk mengabarkan Injil Allah.",
Markus,1,15,Markus 1:15,وَيَقُولُ: «قَدْ كَمَلَ ٱلزَّمَانُ وَٱقْتَرَبَ مَلَكُوتُ ٱللهِ، فَتُوبُوا وَآمِنُوا بِٱلْإِنْجِيلِ».,"Dia berkata, “Waktunya telah genap, dan Kerajaan Allah sudah dekat . Bertobatlah dan percayalah kepada Injil!”","Sabda-Nya, “Waktunya sudah genap dan Kerajaan Allah sudah dekat. Bertobatlah dan percayalah pada Injil!”",
Markus,1,16,Markus 1:16,وَفِيمَا هُوَ يَمْشِي عِنْدَ بَحْرِ ٱلْجَلِيلِ أَبْصَرَ سِمْعَانَ وَأَنْدَرَاوُسَ أَخَاهُ يُلْقِيَانِ شَبَكَةً فِي ٱلْبَحْرِ، فَإِنَّهُمَا كَانَا صَيَّادَيْنِ.,"Ketika Yesus sedang menyusuri tepi Danau Galilea, Dia melihat Simon dan Andreas, saudaranya, sedang menebarkan jala di danau karena mereka adalah penjala ikan .","Ketika Isa berjalan di tepi Danau Galilea, Ia melihat Simon dan saudaranya, Andreas. Mereka sedang menjala di danau itu karena mereka adalah penjala ikan.",
Markus,1,17,Markus 1:17,فَقَالَ لَهُمَا يَسُوعُ: «هَلُمَّ وَرَائِي فَأَجْعَلُكُمَا تَصِيرَانِ صَيَّادَيِ ٱلنَّاسِ».,"Lalu, Yesus berkata kepada mereka, “Ikutlah Aku, dan Aku akan menjadikan kamu penjala manusia.”","Sabda Isa kepada mereka, “Mari ikutlah Aku, dan Aku akan menjadikan kamu penjala manusia.”",
Markus,1,18,Markus 1:18,فَلِلْوَقْتِ تَرَكَا شِبَاكَهُمَا وَتَبِعَاهُ.,Segera Simon dan Andreas meninggalkan jala mereka dan mengikut Dia.,"Mereka segera meninggalkan jala mereka, lalu mengikut Dia.",
Markus,1,19,Markus 1:19,ثُمَّ ٱجْتَازَ مِنْ هُنَاكَ قَلِيلًا فَرَأَى يَعْقُوبَ بْنَ زَبْدِي وَيُوحَنَّا أَخَاهُ، وَهُمَا فِي ٱلسَّفِينَةِ يُصْلِحَانِ ٱلشِّبَاكَ.,"Ketika Yesus pergi lebih jauh lagi, Dia melihat Yakobus, anak Zebedeus, dan Yohanes, saudaranya, yang berada di perahu mereka sedang memperbaiki jala.","Belum berapa jauh Isa berjalan, Ia melihat Yakub bin Zabdi dan Yahya, saudaranya. Mereka berada di dalam perahu, sedang memperbaiki jala.",
Markus,1,20,Markus 1:20,فَدَعَاهُمَا لِلْوَقْتِ. فَتَرَكَا أَبَاهُمَا زَبْدِي فِي ٱلسَّفِينَةِ مَعَ ٱلْأَجْرَى وَذَهَبَا وَرَاءَهُ.,"Segera Yesus memanggil mereka dan mereka meninggalkan Zebedeus, ayah mereka, di perahu dengan para buruh bayaran, lalu pergi mengikut Yesus.","Dengan segera Isa memanggil mereka. Lalu, mereka meninggalkan ayah mereka, Zabdi, di dalam perahu bersama-sama dengan orang-orang upahannya, dan mengikut Dia.",
Markus,1,21,Markus 1:21,ثُمَّ دَخَلُوا كَفْرَنَاحُومَ، وَلِلْوَقْتِ دَخَلَ ٱلْمَجْمَعَ فِي ٱلسَّبْتِ وَصَارَ يُعَلِّمُ.,"Lalu, mereka pergi ke Kapernaum . Pada hari Sabat, segera Yesus masuk ke sinagoge dan mengajar.","Isa dan para pengikut-Nya memasuki Kota Kapernaum. Pada hari Sabat Ia masuk ke rumah ibadah, lalu mengajar.",
Markus,1,22,Markus 1:22,فَبُهِتُوا مِنْ تَعْلِيمِهِ لِأَنَّهُ كَانَ يُعَلِّمُهُمْ كَمَنْ لَهُ سُلْطَانٌ وَلَيْسَ كَٱلْكَتَبَةِ.,"Mereka takjub pada ajaran-Nya karena Dia mengajar mereka sebagai seorang yang mempunyai kuasa, tidak seperti ahli-ahli Taurat .","Orang-orang merasa heran atas pengajaran-Nya karena Ia mengajar mereka sebagai orang yang berwibawa, tidak seperti para ahli Kitab Suci Taurat.",
Markus,1,23,Markus 1:23,وَكَانَ فِي مَجْمَعِهِمْ رَجُلٌ بِهِ رُوحٌ نَجِسٌ، فَصَرَخَ,"Pada saat itu, di sinagoge, ada seorang laki-laki dengan roh najis dan dia berteriak,",Di rumah ibadah itu ada seseorang yang kerasukan setan.,
Markus,1,24,Markus 1:24,قَائِلًا: «آهِ! مَا لَنَا وَلَكَ يَا يَسُوعُ ٱلنَّاصِرِيُّ؟ أَتَيْتَ لِتُهْلِكَنَا! أَنَا أَعْرِفُكَ مَنْ أَنْتَ: قُدُّوسُ ٱللهِ!».,"katanya, “Apa urusan antara Engkau dan kami, Yesus dari Nazaret? Apakah Engkau datang untuk membinasakan kami? Aku tahu siapa Engkau. Engkau adalah Yang Kudus dari Allah!”","Setan itu berteriak, “Apa sangkut paut-Mu dengan kami, hai Isa orang Nazaret? Apakah Engkau datang untuk membinasakan kami? Aku tahu siapa Engkau! Engkau adalah Yang Suci, yang datang dari Allah!”",
Markus,1,25,Markus 1:25,فَٱنْتَهَرَهُ يَسُوعُ قَائِلًا: «ٱخْرَسْ! وَٱخْرُجْ مِنْهُ!».,"Namun, Yesus membentak dia, kata-Nya, “Diam! Keluarlah dari orang ini!”","Tetapi, Isa menghardiknya, “Diam, keluarlah dari orang ini!”",
Markus,1,26,Markus 1:26,فَصَرَعَهُ ٱلرُّوحُ ٱلنَّجِسُ وَصَاحَ بِصَوْتٍ عَظِيمٍ وَخَرَجَ مِنْهُ.,"Setelah roh najis itu mengguncang-guncangkan dia dan dia berteriak dengan suara keras, roh itu keluar darinya.","Kemudian, setan itu menggoncang-goncang orang itu, dan sambil menjerit dengan suara nyaring keluarlah ia dari orang itu.",
Markus,1,27,Markus 1:27,فَتَحَيَّرُوا كُلُّهُمْ، حَتَّى سَأَلَ بَعْضُهُمْ بَعْضًا قَائِلِينَ: «مَا هَذَا؟ مَا هُوَ هَذَا ٱلتَّعْلِيمُ ٱلْجَدِيدُ؟ لِأَنَّهُ بِسُلْطَانٍ يَأْمُرُ حَتَّى ٱلْأَرْوَاحَ ٱلنَّجِسَةَ فَتُطِيعُهُ!».,"Mereka semua takjub sehingga mereka bertanya satu dengan yang lain, katanya, “Apakah ini? Pengajaran baru apa ini? Dengan kuasa apa Dia memerintah roh-roh najis itu sehingga mereka taat kepada-Nya?”","Maka, tercenganglah semua orang sehingga mereka bertanya seorang kepada yang lain, “Apa ini? Suatu ajaran yang baru! Dengan penuh wibawa Ia memberi perintah kepada setan-setan, dan mereka menuruti perintah-Nya!”",
Markus,1,28,Markus 1:28,فَخَرَجَ خَبَرُهُ لِلْوَقْتِ فِي كُلِّ ٱلْكُورَةِ ٱلْمُحِيطَةِ بِٱلْجَلِيلِ.,"Lalu, dengan segera, ketenaran-Nya mulai menyebar sampai ke seluruh wilayah Galilea.","Kemudian, segeralah tersiar kabar tentang Isa di seluruh wilayah Galilea.",
Markus,1,29,Markus 1:29,وَلَمَّا خَرَجُوا مِنَ ٱلْمَجْمَعِ جَاءُوا لِلْوَقْتِ إِلَى بَيْتِ سِمْعَانَ وَأَنْدَرَاوُسَ مَعَ يَعْقُوبَ وَيُوحَنَّا،,"Segera setelah Yesus dan murid-murid-Nya meninggalkan sinagoge, mereka masuk ke rumah Simon dan Andreas, bersama Yakobus dan Yohanes.","Segera setelah keluar dari rumah ibadah, Isa pergi ke rumah Simon dan Andreas bersama-sama dengan Yakub dan Yahya.",
Markus,1,30,Markus 1:30,وَكَانَتْ حَمَاةُ سِمْعَانَ مُضْطَجِعَةً مَحْمُومَةً، فَلِلْوَقْتِ أَخْبَرُوهُ عَنْهَا.,"Namun, Ibu mertua Simon sedang terbaring karena demam, maka mereka segera memberitahukan keadaannya kepada Yesus.",Ibu mertua Simon sedang terbaring karena demam. Mereka segera memberitahukan hal itu kepada Isa.,
Markus,1,31,Markus 1:31,فَتَقَدَّمَ وَأَقَامَهَا مَاسِكًا بِيَدِهَا، فَتَرَكَتْهَا ٱلْحُمَّى حَالًا وَصَارَتْ تَخْدِمُهُمْ.,"Dia pun menemuinya dan memegang tangannya serta membantunya berdiri. Seketika itu juga, demamnya hilang dan perempuan itu mulai melayani mereka.","Isa pun mendatanginya, lalu memegang tangannya dan membangunkannya. Kemudian, demamnya hilang, dan ibu itu menyambut kedatangan mereka.",
Markus,1,32,Markus 1:32,وَلَمَّا صَارَ ٱلْمَسَاءُ، إِذْ غَرَبَتِ ٱلشَّمْسُ، قَدَّمُوا إِلَيْهِ جَمِيعَ ٱلسُّقَمَاءِ وَٱلْمَجَانِينَ.,"Pada waktu malam, saat matahari terbenam , mereka membawa kepada Yesus semua orang yang sakit dan dikuasai roh jahat.","Setelah magrib, pada waktu matahari terbenam, orang-orang yang sakit dan yang dibelenggu setan dibawa kepada-Nya.",
Markus,1,33,Markus 1:33,وَكَانَتِ ٱلْمَدِينَةُ كُلُّهَا مُجْتَمِعَةً عَلَى ٱلْبَابِ.,Seluruh penduduk kota berkumpul di depan pintu rumah itu.,Bahkan seluruh penduduk kota pun sudah berkumpul di depan pintu.,
Markus,1,34,Markus 1:34,فَشَفَى كَثِيرِينَ كَانُوا مَرْضَى بِأَمْرَاضٍ مُخْتَلِفَةٍ، وَأَخْرَجَ شَيَاطِينَ كَثِيرَةً، وَلَمْ يَدَعِ ٱلشَّيَاطِينَ يَتَكَلَّمُونَ لِأَنَّهُمْ عَرَفُوهُ.,"Lalu, Dia menyembuhkan banyak orang yang sakit dengan berbagai macam penyakit serta mengusir banyak roh jahat. Akan tetapi, Dia melarang roh-roh jahat itu berbicara, karena mereka mengenal Dia .",Ia menyembuhkan banyak orang yang menderita berbagai macam penyakit dan mengusir banyak setan. Ia tidak memberi kesempatan setan-setan itu berbicara sebab setan-setan itu mengenal Dia.,
Markus,1,35,Markus 1:35,وَفِي ٱلصُّبْحِ بَاكِرًا جِدًّا قَامَ وَخَرَجَ وَمَضَى إِلَى مَوْضِعٍ خَلَاءٍ، وَكَانَ يُصَلِّي هُنَاكَ،,"Pagi-pagi benar, ketika hari masih gelap, Yesus bangun dan pergi ke tempat yang sunyi, lalu Dia berdoa di sana.","Esoknya, Isa bangun pada waktu hari masih subuh. Lalu, Ia pergi keluar, ke tempat yang sunyi. Di sana Ia memanjatkan doa.",
Markus,1,36,Markus 1:36,فَتَبِعَهُ سِمْعَانُ وَٱلَّذِينَ مَعَهُ.,Simon dan orang-orang yang bersama dengannya pergi mencari Yesus.,"Akan tetapi, Simon dan orang-orang yang bersamanya mencari Dia.",
Markus,1,37,Markus 1:37,وَلَمَّا وَجَدُوهُ قَالُوا لَهُ: «إِنَّ ٱلْجَمِيعَ يَطْلُبُونَكَ».,"Ketika mereka menemukan-Nya, mereka berkata kepada-Nya, “Semua orang mencari Engkau!”","Setelah mereka menemukan Dia, mereka berkata kepada-Nya, “Semua orang mencari-Mu, ya Junjungan.”",
Markus,1,38,Markus 1:38,فَقَالَ لَهُمْ: «لِنَذْهَبْ إِلَى ٱلْقُرَى ٱلْمُجَاوِرَةِ لِأَكْرِزَ هُنَاكَ أَيْضًا، لِأَنِّي لِهَذَا خَرَجْتُ».,"Dia berkata kepada mereka, “Mari kita pergi ke kota-kota terdekat supaya Aku juga bisa memberitakan firman di sana. Sebab, untuk itulah Aku datang.”","Bersabdalah Ia kepada mereka, “Marilah kita pergi ke tempat lain, yaitu ke kota-kota yang dekat supaya di sana pun Aku dapat memberitakan Injil karena untuk itulah Aku datang.”",
Markus,1,39,Markus 1:39,فَكَانَ يَكْرِزُ فِي مَجَامِعِهِمْ فِي كُلِّ ٱلْجَلِيلِ وَيُخْرِجُ ٱلشَّيَاطِينَ.,"Kemudian, Dia pergi ke seluruh wilayah Galilea, berkhotbah di sinagoge-sinagoge mereka, dan mengusir roh-roh jahat.","Lalu, pergilah Ia memberitakan Injil di rumah-rumah ibadah mereka di seluruh wilayah Galilea, dan mengusir setan-setan.",
Markus,1,40,Markus 1:40,فَأَتَى إِلَيْهِ أَبْرَصُ يَطْلُبُ إِلَيْهِ جَاثِيًا وَقَائِلًا لَهُ: «إِنْ أَرَدْتَ تَقْدِرْ أَنْ تُطَهِّرَنِي».,"Ada seorang yang sakit kusta datang kepada Yesus. Dia memohon kepada-Nya dan berlutut kepada-Nya dan berkata kepada-Nya, “Jika Engkau mau, Engkau dapat menahirkan aku.”","Kemudian, datanglah seorang yang berpenyakit kusta menemui Isa. Sambil bersujud ia memohon kepada-Nya, “Jika Tuan menghendaki, Tuan dapat menahirkan aku.”",
Markus,1,41,Markus 1:41,فَتَحَنَّنَ يَسُوعُ وَمَدَّ يَدَهُ وَلَمَسَهُ وَقَالَ لَهُ: «أُرِيدُ، فَٱطْهُرْ!».,"Tergerak oleh rasa belas kasihan, Yesus mengulurkan tangan-Nya dan menyentuh orang itu sambil berkata, “Aku mau. Jadilah tahir!”","Maka, tergeraklah hati-Nya oleh belas kasihan. Isa pun mengulurkan tangan-Nya dan menjamah orang itu, lalu bersabda, “Aku menghendakinya, tahirlah!”",
Markus,1,42,Markus 1:42,فَلِلْوَقْتِ وَهُوَ يَتَكَلَّمُ ذَهَبَ عَنْهُ ٱلْبَرَصُ وَطَهَرَ.,Segera penyakit kustanya hilang dan orang itu menjadi tahir.,Saat itu juga lenyaplah kustanya itu dan ia menjadi tahir.,
Markus,1,43,Markus 1:43,فَٱنْتَهَرَهُ وَأَرْسَلَهُ لِلْوَقْتِ،,Yesus menyuruh orang itu pergi dan memperingatkannya dengan tegas.,"Isa memperingatkan orang itu, lalu menyuruhnya pergi.",
Markus,1,44,Markus 1:44,وَقَالَ لَهُ: «ٱنْظُرْ، لَا تَقُلْ لِأَحَدٍ شَيْئًا، بَلِ ٱذْهَبْ أَرِ نَفْسَكَ لِلْكَاهِنِ وَقَدِّمْ عَنْ تَطْهِيرِكَ مَا أَمَرَ بِهِ مُوسَى، شَهَادَةً لَهُمْ».,"Dia berkata kepadanya, “Ingat, jangan katakan apa pun kepada siapa pun, tetapi pergilah, perlihatkanlah dirimu kepada imam , dan berilah persembahan atas penahiranmu seperti yang diperintahkan oleh Musa sebagai bukti untuk mereka.”","Sabda Isa kepadanya, “Ingat, jangan ceritakan hal ini kepada seorang pun, tetapi pergi dan tunjukkanlah dirimu kepada imam. Lalu, persembahkanlah persembahan atas ketahiranmu seperti diperintahkan Nabi Musa sebagai bukti bagi mereka.”",
Markus,1,45,Markus 1:45,وَأَمَّا هُوَ فَخَرَجَ وَٱبْتَدَأَ يُنَادِي كَثِيرًا وَيُذِيعُ ٱلْخَبَرَ، حَتَّى لَمْ يَعُدْ يَقْدِرُ أَنْ يَدْخُلَ مَدِينَةً ظَاهِرًا، بَلْ كَانَ خَارِجًا فِي مَوَاضِعَ خَالِيَةٍ، وَكَانُوا يَأْتُونَ إِلَيْهِ مِنْ كُلِّ نَاحِيَةٍ.,"Akan tetapi, orang itu malah pergi dan mulai memberitakannya secara terbuka dan menyebarkan berita itu sehingga Yesus tidak dapat masuk ke kota dengan terang-terangan, tetapi tinggal di luar, di daerah yang sepi. Walaupun demikian, orang-orang dari segala tempat tetap mendatangi-Nya.","Namun, orang itu pergi dan mulai menceritakan hal itu serta memasyhurkannya sehingga Isa tidak bisa lagi masuk ke dalam kota dengan terang-terangan. Ia hanya tinggal di luar kota, di tempat-tempat yang sunyi. Meskipun begitu, orang-orang terus berdatangan menemui-Nya dari segala penjuru.",
Markus,2,1,Markus 2:1,ثُمَّ دَخَلَ كَفْرَنَاحُومَ أَيْضًا بَعْدَ أَيَّامٍ، فَسُمِعَ أَنَّهُ فِي بَيْتٍ.,"Beberapa hari kemudian, ketika Yesus kembali ke Kapernaum, terdengar kabar bahwa Dia berada di rumah .","Beberapa hari kemudian, ketika Isa kembali ke Kapernaum, tersebarlah kabar bahwa Ia ada di rumah.",
Markus,2,2,Markus 2:2,وَلِلْوَقْتِ ٱجْتَمَعَ كَثِيرُونَ حَتَّى لَمْ يَعُدْ يَسَعُ وَلَا مَا حَوْلَ ٱلْبَابِ. فَكَانَ يُخَاطِبُهُمْ بِٱلْكَلِمَةِ.,"Banyak orang dikumpulkan sampai tidak ada tempat lagi, bahkan di dekat pintu sekalipun, dan Dia memberitakan firman kepada mereka.","Maka, berkumpullah orang banyak di sana hingga tidak ada lagi tempat, bahkan di muka pintu pun. Lalu, Isa menyampaikan firman Allah kepada mereka.",
Markus,2,3,Markus 2:3,وَجَاءُوا إِلَيْهِ مُقَدِّمِينَ مَفْلُوجًا يَحْمِلُهُ أَرْبَعَةٌ.,"Lalu, mereka datang kepada Yesus dengan membawa seorang lumpuh yang diusung oleh empat orang.","Sementara itu, beberapa orang datang kepada-Nya, membawa seorang lumpuh yang diusung oleh empat orang.",
Markus,2,4,Markus 2:4,وَإِذْ لَمْ يَقْدِرُوا أَنْ يَقْتَرِبُوا إِلَيْهِ مِنْ أَجْلِ ٱلْجَمْعِ، كَشَفُوا ٱلسَّقْفَ حَيْثُ كَانَ. وَبَعْدَ مَا نَقَبُوهُ دَلَّوْا ٱلسَّرِيرَ ٱلَّذِي كَانَ ٱلْمَفْلُوجُ مُضْطَجِعًا عَلَيْهِ.,"Ketika mereka tidak dapat membawa orang itu ke dekat Yesus karena banyaknya orang, mereka membongkar atap tepat di atas Yesus. Setelah membongkarnya, mereka menurunkan kasur tempat orang lumpuh itu terbaring.","Akan tetapi, karena orang banyak yang berkerumun itu, mereka tidak dapat mendekati Isa. Lalu, mereka membuka atap tepat di atas Isa berada. Setelah atap itu terbuka, mereka menurunkan orang lumpuh itu di atas pembaringannya.",
Markus,2,5,Markus 2:5,فَلَمَّا رَأَى يَسُوعُ إِيمَانَهُمْ، قَالَ لِلْمَفْلُوجِ: «يَا بُنَيَّ، مَغْفُورَةٌ لَكَ خَطَايَاكَ».,"Ketika Yesus melihat iman mereka, Dia berkata kepada orang lumpuh itu, “Hai anak-Ku, dosa-dosamu diampuni.”","Ketika Isa melihat iman mereka, bersabdalah Ia kepada orang lumpuh itu, “Hai anak-Ku, dosamu sudah diampuni.”",
Markus,2,6,Markus 2:6,وَكَانَ قَوْمٌ مِنَ ٱلْكَتَبَةِ هُنَاكَ جَالِسِينَ يُفَكِّرُونَ فِي قُلُوبِهِمْ:,"Namun, beberapa ahli Taurat yang duduk di sana bertanya-tanya dalam hati mereka,","Beberapa ahli Kitab Suci Taurat yang juga duduk di situ bertanya-tanya dalam hati mereka,",
Markus,2,7,Markus 2:7,«لِمَاذَا يَتَكَلَّمُ هَذَا هَكَذَا بِتَجَادِيفَ؟ مَنْ يَقْدِرُ أَنْ يَغْفِرَ خَطَايَا إِلَّا ٱللهُ وَحْدَهُ؟».,“Mengapa Orang ini berkata seperti itu? Dia sedang menghujat! Siapa yang dapat mengampuni dosa-dosa selain Allah sendiri?”,"“Mengapa orang ini berkata begitu? Ia menghujat Allah! Siapa yang berhak mengampuni dosa, selain Allah?”",
Markus,2,8,Markus 2:8,فَلِلْوَقْتِ شَعَرَ يَسُوعُ بِرُوحِهِ أَنَّهُمْ يُفَكِّرُونَ هَكَذَا فِي أَنْفُسِهِمْ، فَقَالَ لَهُمْ: «لِمَاذَا تُفَكِّرُونَ بِهَذَا فِي قُلُوبِكُمْ؟,"Yesus segera mengetahui dari dalam Roh-Nya bahwa mereka bertanya-tanya dalam hati mereka. Dia berkata kepada mereka, “Mengapa kamu bertanya tentang hal itu dalam hatimu?","Isa segera mengetahui di dalam hati-Nya bahwa mereka sedang memikirkan hal itu. Lalu, bersabdalah Ia kepada mereka, “Mengapa kamu memikirkan hal itu dalam hatimu?",
Markus,2,9,Markus 2:9,أَيُّمَا أَيْسَرُ، أَنْ يُقَالَ لِلْمَفْلُوجِ: مَغْفُورَةٌ لَكَ خَطَايَاكَ، أَمْ أَنْ يُقَالَ: قُمْ وَٱحْمِلْ سَرِيرَكَ وَٱمْشِ؟,"Mana lebih mudah, mengatakan kepada orang lumpuh itu, ‘Dosa-dosamu diampuni’, atau mengatakan, ‘Bangun, angkat kasurmu dan berjalanlah’?","Mana lebih mudah dikatakan kepada orang lumpuh ini, ‘Dosamu sudah diampuni,’ atau, ‘Bangunlah, angkatlah tempat tidurmu itu dan berjalanlah’?",
Markus,2,10,Markus 2:10,وَلَكِنْ لِكَيْ تَعْلَمُوا أَنَّ لِٱبْنِ ٱلْإِنْسَانِ سُلْطَانًا عَلَى ٱلْأَرْضِ أَنْ يَغْفِرَ ٱلْخَطَايَا». قَالَ لِلْمَفْلُوجِ:,"Akan tetapi, supaya kamu tahu bahwa Anak Manusia memiliki kuasa di bumi untuk mengampuni dosa.” Dia berkata kepada orang lumpuh itu,","Akan tetapi, kamu harus tahu bahwa di bumi ini Anak Manusia mempunyai wewenang untuk mengampuni dosa”—lalu Ia bersabda kepada orang lumpuh itu—",
