Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Yohanes,1,13,Yohanes 1:13,اَلَّذِينَ وُلِدُوا لَيْسَ مِنْ دَمٍ، وَلَا مِنْ مَشِيئَةِ جَسَدٍ، وَلَا مِنْ مَشِيئَةِ رَجُلٍ، بَلْ مِنَ ٱللهِ.,"Mereka lahir bukan dari darah atau keinginan daging, atau dari keinginan laki-laki, melainkan dari Allah .","Kelahiran mereka bukan dari darah, bukan dari keinginan daging, dan bukan dari keinginan seorang laki-laki, melainkan dari Allah.",
Yohanes,1,14,Yohanes 1:14,وَٱلْكَلِمَةُ صَارَ جَسَدًا وَحَلَّ بَيْنَنَا، وَرَأَيْنَا مَجْدَهُ، مَجْدًا كَمَا لِوَحِيدٍ مِنَ ٱلْآبِ، مَمْلُوءًا نِعْمَةً وَحَقًّا.,"Firman itu telah menjadi daging dan tinggal di antara kita. Kita telah melihat kemuliaan-Nya, yaitu kemuliaan Anak Tunggal Bapa, penuh dengan anugerah dan kebenaran.","Kalam itu telah menjadi manusia, lalu tinggal di antara kita, dan kita telah melihat kemuliaan-Nya, yaitu kemuliaan yang diterima-Nya sebagai Sang Anak Tunggal yang datang dari Sang Bapa, penuh dengan anugerah dan kebenaran.",
Yohanes,1,15,Yohanes 1:15,يُوحَنَّا شَهِدَ لَهُ وَنَادَى قَائِلًا: «هَذَا هُوَ ٱلَّذِي قُلْتُ عَنْهُ: إِنَّ ٱلَّذِي يَأْتِي بَعْدِي صَارَ قُدَّامِي، لِأَنَّهُ كَانَ قَبْلِي».,"Yohanes memberi kesaksian tentang Dia dengan berseru, “Inilah Dia yang kumaksudkan saat aku berkata, ‘Sesudah aku, akan datang Dia yang mendahului aku karena Dia ada sebelum aku.’”","Nabi Yahya pun memberi kesaksian tentang Dia, katanya, “Inilah orang yang kukatakan, ‘Dia, yang datang kemudian setelah aku, melebihi aku karena Dia sudah ada lebih dahulu sebelum aku.’”",
Yohanes,1,16,Yohanes 1:16,وَمِنْ مِلْئِهِ نَحْنُ جَمِيعًا أَخَذْنَا، وَنِعْمَةً فَوْقَ نِعْمَةٍ.,"Dari kepenuhan-Nya, kita semua menerima anugerah demi anugerah.","Dari kelimpahan-Nya, kita semua sudah menerima anugerah demi anugerah.",
Yohanes,1,17,Yohanes 1:17,لِأَنَّ ٱلنَّامُوسَ بِمُوسَى أُعْطِيَ، أَمَّا ٱلنِّعْمَةُ وَٱلْحَقُّ فَبِيَسُوعَ ٱلْمَسِيحِ صَارَا.,"Sebab, Hukum Taurat diberikan melalui Musa, tetapi anugerah dan kebenaran datang melalui Kristus Yesus.","Karena hukum Taurat, yaitu hukum yang terdapat dalam Kitab Suci Taurat, disampaikan melalui Nabi Musa, tetapi anugerah dan kebenaran datang melalui Isa Al-Masih.",
Yohanes,1,18,Yohanes 1:18,ٱللهُ لَمْ يَرَهُ أَحَدٌ قَطُّ. اَلِٱبْنُ ٱلْوَحِيدُ ٱلَّذِي هُوَ فِي حِضْنِ ٱلْآبِ هُوَ خَبَّرَ.,"Tidak seorang pun pernah melihat Allah, tetapi Anak Tunggal Allah, yang ada di pangkuan Bapa, menyatakan-Nya.","Tak seorang pun pernah melihat Allah; Sang Anak Tunggal, yang ada di pangkuan Sang Bapa, Dialah yang telah menyatakan-Nya.",
Yohanes,1,19,Yohanes 1:19,وَهَذِهِ هِيَ شَهَادَةُ يُوحَنَّا، حِينَ أَرْسَلَ ٱلْيَهُودُ مِنْ أُورُشَلِيمَ كَهَنَةً وَلَاوِيِّينَ لِيَسْأَلُوهُ: «مَنْ أَنْتَ؟».,"Inilah kesaksian Yohanes ketika orang-orang Yahudi mengutus imam-imam dan orang-orang Lewi dari Yerusalem untuk bertanya kepada Yohanes, “Siapakah engkau?”","Inilah kesaksian Yahya pada waktu orang-orang Israil dari Yerusalem mengutus beberapa imam dan orang Lewi untuk bertanya kepadanya, “Siapakah engkau?”",
Yohanes,1,20,Yohanes 1:20,فَٱعْتَرَفَ وَلَمْ يُنْكِرْ، وَأَقَرَّ: «إِنِّي لَسْتُ أَنَا ٱلْمَسِيحَ».,"Yohanes mengaku, dan dia tidak menyangkalnya, dia mengaku, “Aku bukan Kristus itu.”","Ia mengaku dan tidak menyangkal, demikian pengakuannya, “Aku bukanlah Al-Masih.”",
Yohanes,1,21,Yohanes 1:21,فَسَأَلُوهُ: «إِذًا مَاذَا؟ إِيلِيَّا أَنْتَ؟». فَقَالَ: «لَسْتُ أَنَا». «أَلنَّبِيُّ أَنْتَ؟». فَأَجَابَ: «لَا».,"Mereka bertanya kepadanya, “Kalau begitu, siapakah engkau? Apakah engkau Elia?” Ia menjawab, “Aku bukan Elia.” “Apakah engkau Nabi itu?” Ia menjawab, “Bukan.”","Mereka bertanya kepadanya, “Kalau begitu, siapakah engkau? Nabi Ilyaskah?” Jawabnya, “Bukan!” “Engkaukah nabi yang akan datang?” Jawabnya, “Bukan!”",
Yohanes,1,22,Yohanes 1:22,فَقَالُوا لَهُ: «مَنْ أَنْتَ، لِنُعْطِيَ جَوَابًا لِلَّذِينَ أَرْسَلُونَا؟ مَاذَا تَقُولُ عَنْ نَفْسِكَ؟».,"Kemudian, mereka berkata kepadanya, “Siapakah engkau karena kami harus memberi jawaban kepada orang yang mengutus kami? Apa katamu tentang dirimu sendiri?”","Lalu, kata mereka kepadanya, “Siapakah engkau? Kami harus memberikan jawaban kepada orang-orang yang mengutus kami. Apa katamu tentang dirimu sendiri?”",
Yohanes,1,23,Yohanes 1:23,قَالَ: «أَنَا صَوْتُ صَارِخٍ فِي ٱلْبَرِّيَّةِ: قَوِّمُوا طَرِيقَ ٱلرَّبِّ، كَمَا قَالَ إِشَعْيَاءُ ٱلنَّبِيُّ».,"Yohanes menjawab dengan perkataan Nabi Yesaya, “Akulah suara orang yang dikatakan Nabi Yesaya berseru-seru di padang belantara: ‘Luruskanlah jalan bagi Tuhan!’” Yesaya 40:3","Kata Yahya, “Akulah orang yang menyeru-nyerukan suaraku di padang belantara, ‘Luruskanlah jalan bagi Tuhan,’ seperti telah disampaikan melalui Nabi Yesaya.”",
Yohanes,1,24,Yohanes 1:24,وَكَانَ ٱلْمُرْسَلُونَ مِنَ ٱلْفَرِّيسِيِّينَ،,Orang-orang Yahudi yang diutus itu adalah orang Farisi .,Di antara mereka ada pula beberapa orang utusan dari mazhab Farisi.,
Yohanes,1,25,Yohanes 1:25,فَسَأَلُوهُ وَقَالُوا لَهُ: «فَمَا بَالُكَ تُعَمِّدُ إِنْ كُنْتَ لَسْتَ ٱلْمَسِيحَ، وَلَا إِيلِيَّا، وَلَا ٱلنَّبِيَّ؟».,"Lalu, mereka berkata kepada Yohanes, “Jika engkau bukan Mesias, bukan Elia, dan bukan Nabi itu, mengapa engkau membaptis?”","Mereka bertanya kepadanya, “Jika engkau bukan Al-Masih, bukan Ilyas, dan juga bukan nabi yang akan datang, mengapa engkau mempermandikan orang?”",
Yohanes,1,26,Yohanes 1:26,أَجَابَهُمْ يُوحَنَّا قَائِلًا: «أَنَا أُعَمِّدُ بِمَاءٍ، وَلَكِنْ فِي وَسْطِكُمْ قَائِمٌ ٱلَّذِي لَسْتُمْ تَعْرِفُونَهُ.,"Yohanes menjawab mereka, “Aku membaptis dengan air, tetapi di antara kamu berdiri Seseorang yang tidak kamu kenal.","Jawab Yahya kepada mereka, “Aku mempermandikan dengan air. Tetapi, di antaramu berdiri Dia, yang datang setelah aku, dan yang tidak kamu kenal.",
Yohanes,1,27,Yohanes 1:27,هُوَ ٱلَّذِي يَأْتِي بَعْدِي، ٱلَّذِي صَارَ قُدَّامِي، ٱلَّذِي لَسْتُ بِمُسْتَحِقٍّ أَنْ أَحُلَّ سُيُورَ حِذَائِهِ».,"Dialah yang akan datang setelah aku. Membuka tali sandal-Nya pun, aku tidak pantas.”",Aku sendiri pun tidak layak untuk membuka tali kasut-Nya.”,
Yohanes,1,28,Yohanes 1:28,هَذَا كَانَ فِي بَيْتِ عَبْرَةَ فِي عَبْرِ ٱلْأُرْدُنِّ حَيْثُ كَانَ يُوحَنَّا يُعَمِّدُ.,"Semua itu terjadi di Betania, di seberang Sungai Yordan, tempat Yohanes membaptis.","Hal itu terjadi di Baitani, di seberang Sungai Yordan, tempat Yahya mempermandikan orang.",
Yohanes,1,29,Yohanes 1:29,وَفِي ٱلْغَدِ نَظَرَ يُوحَنَّا يَسُوعَ مُقْبِلًا إِلَيْهِ، فَقَالَ: «هُوَذَا حَمَلُ ٱللهِ ٱلَّذِي يَرْفَعُ خَطِيَّةَ ٱلْعَالَمِ!,"Keesokan harinya, Yohanes melihat Yesus datang kepadanya, dan Yohanes berkata, “Lihatlah, Anak Domba Allah yang menghapuskan dosa dunia !","Esoknya, Yahya melihat Isa datang kepadanya. Lalu, Yahya berkata, “Lihatlah, Anak Domba Allah yang mengangkat dosa dunia.",
Yohanes,1,30,Yohanes 1:30,هَذَا هُوَ ٱلَّذِي قُلْتُ عَنْهُ: يَأْتِي بَعْدِي، رَجُلٌ صَارَ قُدَّامِي، لِأَنَّهُ كَانَ قَبْلِي.,"Dialah yang aku maksudkan ketika aku berkata, ‘Sesudah aku akan datang Seseorang yang lebih besar daripada aku karena Ia sudah ada sebelum aku.’","Dialah yang kumaksudkan ketika aku berkata, ‘Setelah aku akan datang seseorang yang melebihi aku karena Ia sudah ada lebih dahulu sebelum aku.’",
Yohanes,1,31,Yohanes 1:31,وَأَنَا لَمْ أَكُنْ أَعْرِفُهُ. لَكِنْ لِيُظْهَرَ لِإِسْرَائِيلَ لِذَلِكَ جِئْتُ أُعَمِّدُ بِٱلْمَاءِ».,"Dahulu, aku tidak mengenal Dia, tetapi supaya Ia dinyatakan kepada orang-orang Israel, maka aku datang membaptis dengan air.”","Sebelumnya, aku pun tidak mengenal-Nya, tetapi untuk itulah aku datang dan mempermandikan dengan air supaya Ia dinyatakan kepada Israil.”",
Yohanes,1,32,Yohanes 1:32,وَشَهِدَ يُوحَنَّا قَائِلًا: «إِنِّي قَدْ رَأَيْتُ ٱلرُّوحَ نَازِلًا مِثْلَ حَمَامَةٍ مِنَ ٱلسَّمَاءِ فَٱسْتَقَرَّ عَلَيْهِ.,"Dan, Yohanes bersaksi, katanya, “Aku melihat Roh turun dari langit seperti burung merpati dan Roh itu tinggal pada-Nya.","Yahya pun memberi kesaksian, katanya, “Aku telah melihat Ruh Allah turun dari surga seperti burung merpati dan berdiam di atas-Nya.",
Yohanes,1,33,Yohanes 1:33,وَأَنَا لَمْ أَكُنْ أَعْرِفُهُ، لَكِنَّ ٱلَّذِي أَرْسَلَنِي لِأُعَمِّدَ بِٱلْمَاءِ، ذَاكَ قَالَ لِي: ٱلَّذِي تَرَى ٱلرُّوحَ نَازِلًا وَمُسْتَقِرًّا عَلَيْهِ، فَهَذَا هُوَ ٱلَّذِي يُعَمِّدُ بِٱلرُّوحِ ٱلْقُدُسِ.,"Aku sendiri tidak mengenal Dia, tetapi Dia yang mengutus aku untuk membaptis dengan air berkata kepadaku, ‘Dia yang ke atas-Nya kamu melihat Roh turun dan tinggal, Dialah yang akan membaptis dengan Roh Kudus.’","Sebelumnya, aku sendiri pun tidak mengenal-Nya, tetapi Dia, yang menyuruh aku supaya aku mempermandikan dengan air, telah bersabda kepadaku, ‘Apabila engkau melihat Ruh Allah turun ke atas seseorang dan berdiam di atas-Nya, Dia itulah yang akan mempermandikan dengan Ruh Allah Yang Mahasuci.’",
Yohanes,1,34,Yohanes 1:34,وَأَنَا قَدْ رَأَيْتُ وَشَهِدْتُ أَنَّ هَذَا هُوَ ٱبْنُ ٱللهِ».,Aku sendiri telah melihat dan memberi kesaksian bahwa Dia inilah Anak Allah.’”,Sekarang aku sudah melihat-Nya dan aku pun memberi kesaksian bahwa Dialah Sang Anak yang datang dari Allah.”,
Yohanes,1,35,Yohanes 1:35,وَفِي ٱلْغَدِ أَيْضًا كَانَ يُوحَنَّا وَاقِفًا هُوَ وَٱثْنَانِ مِنْ تَلَامِيذِهِ،,"Keesokan harinya, Yohanes berdiri lagi bersama dua orang muridnya,","Esoknya, ketika Yahya sedang berdiri bersama kedua pengikutnya,",
Yohanes,1,36,Yohanes 1:36,فَنَظَرَ إِلَى يَسُوعَ مَاشِيًا، فَقَالَ: «هُوَذَا حَمَلُ ٱللهِ!».,"dan dia melihat Yesus sedang berjalan. Yohanes berkata, “Lihatlah, Anak Domba Allah!”","dilihatnya Isa lewat. Lalu, katanya, “Lihat, Anak Domba Allah!”",
Yohanes,1,37,Yohanes 1:37,فَسَمِعَهُ ٱلتِّلْمِيذَانِ يَتَكَلَّمُ، فَتَبِعَا يَسُوعَ.,Kedua muridnya mendengar perkataannya itu lalu mereka mengikut Yesus.,"Mendengar ia berkata begitu, pergilah kedua pengikutnya itu mengikuti Isa.",
Yohanes,1,38,Yohanes 1:38,فَٱلْتَفَتَ يَسُوعُ وَنَظَرَهُمَا يَتْبَعَانِ، فَقَالَ لَهُمَا: «مَاذَا تَطْلُبَانِ؟». فَقَالَا: «رَبِّي» ٱلَّذِي تَفْسِيرُهُ: يَا مُعَلِّمُ. «أَيْنَ تَمْكُثُ؟».,"Yesus menoleh ke belakang dan ketika melihat mereka sedang mengikuti-Nya, Ia berkata kepada mereka, “Apa yang kamu cari?” Mereka berkata kepada-Nya, “Rabi (yang artinya: Guru), di manakah Engkau tinggal?”","Isa berpaling, lalu melihat mereka yang sedang mengikuti-Nya. Sabda-Nya kepada mereka, “Apa yang kamu cari?” Kata mereka kepada-Nya, “Rabi (artinya: Guru), di manakah Engkau tinggal?”",
Yohanes,1,39,Yohanes 1:39,فَقَالَ لَهُمَا: «تَعَالَيَا وَٱنْظُرَا». فَأَتَيَا وَنَظَرَا أَيْنَ كَانَ يَمْكُثُ، وَمَكَثَا عِنْدَهُ ذَلِكَ ٱلْيَوْمَ. وَكَانَ نَحْوَ ٱلسَّاعَةِ ٱلْعَاشِرَةِ.,"Dia berkata kepada mereka, “Mari dan kamu akan melihatnya.” Kemudian, mereka datang dan melihat tempat Dia tinggal dan mereka tinggal bersama-Nya hari itu karena waktu itu kira-kira adalah jam kesepuluh .","Sabda-Nya kepada mereka, “Marilah dan lihatlah.” Keduanya pun pergi dan melihat tempat tinggal-Nya. Kemudian, pada hari itu mereka tinggal bersama-Nya. Waktu itu kira-kira jam yang kesepuluh.",
Yohanes,1,40,Yohanes 1:40,كَانَ أَنْدَرَاوُسُ أَخُو سِمْعَانَ بُطْرُسَ وَاحِدًا مِنَ ٱلِٱثْنَيْنِ ٱللَّذَيْنِ سَمِعَا يُوحَنَّا وَتَبِعَاهُ.,"Salah satu dari kedua murid yang mendengar perkataan Yohanes lalu mengikut Yesus itu adalah Andreas, saudara Simon Petrus.","Andreas, saudara Simon Petrus, adalah salah satu dari kedua orang yang mendengar perkataan Yahya, lalu mengikut Isa.",
Yohanes,1,41,Yohanes 1:41,هَذَا وَجَدَ أَوَّلًا أَخَاهُ سِمْعَانَ، فَقَالَ لَهُ: «قَدْ وَجَدْنَا مَسِيَّا» ٱلَّذِي تَفْسِيرُهُ: ٱلْمَسِيحُ.,"Sebelumnya, Andreas menemui Simon, saudaranya, dan memberitahunya, “Kami telah menemukan Mesias (yang diterjemahkan menjadi ‘Kristus’).”","Mula-mula ia menemui Simon, saudaranya, dan kepadanya ia berkata, “Kami telah bertemu dengan Mesias (artinya: Al-Masih).”",
Yohanes,1,42,Yohanes 1:42,فَجَاءَ بِهِ إِلَى يَسُوعَ. فَنَظَرَ إِلَيْهِ يَسُوعُ وَقَالَ: «أَنْتَ سِمْعَانُ بْنُ يُونَا. أَنْتَ تُدْعَى صَفَا» ٱلَّذِي تَفْسِيرُهُ: بُطْرُسُ.,"Kemudian, Andreas membawa Simon kepada Yesus. Yesus memandang Simon dan berkata, “Kamu Simon, anak Yohanes. Kamu akan dipanggil Kefas (yang berarti ‘Petrus’ atau ‘Batu’).”","Kemudian, dibawanya Simon kepada Isa. Isa memandang Simon, lalu bersabda, “Simon bin Yahya, engkau akan dinamai Kefas (artinya: Petrus).”",
Yohanes,1,43,Yohanes 1:43,فِي ٱلْغَدِ أَرَادَ يَسُوعُ أَنْ يَخْرُجَ إِلَى ٱلْجَلِيلِ، فَوَجَدَ فِيلُبُّسَ فَقَالَ لَهُ: «ٱتْبَعْنِي».,"Keesokan harinya, Yesus bermaksud pergi ke Galilea. Ia bertemu dengan Filipus dan berkata kepadanya, “Ikutlah Aku!”","Esoknya, ketika Isa hendak pergi ke Galilea, Ia bertemu dengan Filipus. Lalu, sabda Isa kepadanya, “Ikutlah Aku!”",
Yohanes,1,44,Yohanes 1:44,وَكَانَ فِيلُبُّسُ مِنْ بَيْتِ صَيْدَا، مِنْ مَدِينَةِ أَنْدَرَاوُسَ وَبُطْرُسَ.,"Filipus berasal dari Betsaida , kota tempat Andreas dan Petrus tinggal.","Filipus berasal dari Baitsaida, satu kota dengan Andreas dan Petrus.",
Yohanes,1,45,Yohanes 1:45,فِيلُبُّسُ وَجَدَ نَثَنَائِيلَ وَقَالَ لَهُ: «وَجَدْنَا ٱلَّذِي كَتَبَ عَنْهُ مُوسَى فِي ٱلنَّامُوسِ وَٱلْأَنْبِيَاءُ يَسُوعَ ٱبْنَ يُوسُفَ ٱلَّذِي مِنَ ٱلنَّاصِرَةِ».,"Filipus bertemu dengan Natanael dan berkata kepadanya, “Kami telah menemukan Dia yang dituliskan oleh Musa dalam Hukum Taurat dan oleh para nabi, yaitu Yesus dari Nazaret, anak Yusuf.”","Kemudian, Filipus menemui Natanael dan berkata kepadanya, “Kami sudah bertemu dengan Dia yang dituliskan oleh Musa dalam Kitab Suci Taurat dan juga nabi-nabi, yaitu Isa bin Yusuf dari Nazaret.”",
Yohanes,1,46,Yohanes 1:46,فَقَالَ لَهُ نَثَنَائِيلُ: «أَمِنَ ٱلنَّاصِرَةِ يُمْكِنُ أَنْ يَكُونَ شَيْءٌ صَالِحٌ؟». قَالَ لَهُ فِيلُبُّسُ: «تَعَالَ وَٱنْظُرْ».,"Natanael berkata kepadanya, “Mungkinkah sesuatu yang baik datang dari Nazaret?” Filipus berkata kepadanya, “Datang dan lihatlah.”","Kata Natanael kepadanya, “Dapatkah sesuatu yang baik datang dari Nazaret?” Kata Filipus kepadanya, “Marilah dan lihatlah.”",
Yohanes,1,47,Yohanes 1:47,وَرَأَى يَسُوعُ نَثَنَائِيلَ مُقْبِلًا إِلَيْهِ، فَقَالَ عَنْهُ: «هُوَذَا إِسْرَائِيلِيٌّ حَقًّا لَا غِشَّ فِيهِ».,"Yesus melihat Natanael datang kepada-Nya dan berbicara mengenai Natanael, “Lihatlah, seorang Israel sejati, tidak ada kepalsuan di dalam dia!”","Ketika Isa melihat Natanael datang, bersabdalah Isa mengenai dia, “Lihat, dialah orang Israil sejati, padanya tidak terdapat tipu daya!”",
Yohanes,1,48,Yohanes 1:48,قَالَ لَهُ نَثَنَائِيلُ: «مِنْ أَيْنَ تَعْرِفُنِي؟». أَجَابَ يَسُوعُ وَقَالَ لَهُ: «قَبْلَ أَنْ دَعَاكَ فِيلُبُّسُ وَأَنْتَ تَحْتَ ٱلتِّينَةِ، رَأَيْتُكَ».,"Natanael bertanya, “Bagaimana Engkau mengenal aku?” Yesus menjawab, “Sebelum Filipus memanggilmu, Aku sudah melihatmu ketika kamu berada di bawah pohon ara.”","Kata Natanael kepada-Nya, “Bagaimana Guru mengenal aku?” Sabda Isa kepadanya, “Sebelum Filipus memanggilmu, Aku sudah melihat engkau di bawah pohon ara itu.”",
Yohanes,1,49,Yohanes 1:49,أَجَابَ نَثَنَائِيلُ وَقَالَ لَهُ: «يَا مُعَلِّمُ، أَنْتَ ٱبْنُ ٱللهِ! أَنْتَ مَلِكُ إِسْرَائِيلَ!».,"Jawab Natanael, “Rabi, Engkau adalah Anak Allah. Engkau adalah Raja orang Israel.”","Kata Natanael kepada-Nya, “Ya Guru, Engkaulah Sang Anak yang datang dari Allah, Raja Israil.”",
Yohanes,1,50,Yohanes 1:50,أَجَابَ يَسُوعُ وَقَالَ لَهُ: «هَلْ آمَنْتَ لِأَنِّي قُلْتُ لَكَ إِنِّي رَأَيْتُكَ تَحْتَ ٱلتِّينَةِ؟ سَوْفَ تَرَى أَعْظَمَ مِنْ هَذَا!».,"Yesus menjawab kepadanya, “Karena Aku berkata kepadamu, ‘Aku telah melihatmu di bawah pohon ara’, maka kamu percaya? Kamu akan melihat hal-hal yang jauh lebih besar daripada ini!”","Sabda Isa kepadanya, “Apakah engkau percaya karena Aku berkata kepadamu bahwa Aku sudah melihat engkau di bawah pohon ara? Engkau akan melihat hal-hal yang lebih besar daripada itu.”",
Yohanes,1,51,Yohanes 1:51,وَقَالَ لَهُ: «ٱلْحَقَّ ٱلْحَقَّ أَقُولُ لَكُمْ: مِنَ ٱلْآنَ تَرَوْنَ ٱلسَّمَاءَ مَفْتُوحَةً، وَمَلَائِكَةَ ٱللهِ يَصْعَدُونَ وَيَنْزِلُونَ عَلَى ٱبْنِ ٱلْإِنْسَانِ».,"Lalu, Ia melanjutkan, “Sesungguhnya, Aku berkata kepadamu, kamu akan melihat langit terbuka dan malaikat-malaikat Allah naik turun melayani Anak Manusia .”","Sabda Isa pula kepadanya, “Sesungguhnya, Aku berkata kepadamu, kamu akan melihat langit terbuka dan malaikat-malaikat Allah naik turun di atas Anak Manusia.”",
Yohanes,2,1,Yohanes 2:1,وَفِي ٱلْيَوْمِ ٱلثَّالِثِ كَانَ عُرْسٌ فِي قَانَا ٱلْجَلِيلِ، وَكَانَتْ أُمُّ يَسُوعَ هُنَاكَ.,"Pada hari yang ketiga , ada pesta perkawinan di Kana, Galilea, dan ibu Yesus ada di sana.","Pada hari yang ketiga ada pernikahan di Kota Kana, di wilayah Galilea, dan ibu Isa ada di situ.",
Yohanes,2,2,Yohanes 2:2,وَدُعِيَ أَيْضًا يَسُوعُ وَتَلَامِيذُهُ إِلَى ٱلْعُرْسِ.,Yesus dan murid-murid-Nya juga diundang ke pesta perkawinan itu.,Isa dan para pengikut-Nya diundang juga ke pernikahan itu.,
Yohanes,2,3,Yohanes 2:3,وَلَمَّا فَرَغَتِ ٱلْخَمْرُ، قَالَتْ أُمُّ يَسُوعَ لَهُ: «لَيْسَ لَهُمْ خَمْرٌ».,"Ketika air anggur habis, ibu Yesus berkata kepada-Nya, “Mereka kehabisan air anggur.”","Ketika air anggur kurang, ibu Isa berkata kepada-Nya, “Mereka kehabisan anggur.”",
Yohanes,2,4,Yohanes 2:4,قَالَ لَهَا يَسُوعُ: «مَا لِي وَلَكِ يَا ٱمْرَأَةُ؟ لَمْ تَأْتِ سَاعَتِي بَعْدُ».,"Yesus menjawab, “Perempuan , apa hubungannya dengan-Ku? Waktu-Ku belum tiba.”","Sabda Isa kepadanya, “Wahai Ibu, janganlah Ibu menyuruh Aku. Waktu-Ku belum tiba.”",
Yohanes,2,5,Yohanes 2:5,قَالَتْ أُمُّهُ لِلْخُدَّامِ: «مَهْمَا قَالَ لَكُمْ فَٱفْعَلُوهُ».,"Ibu Yesus berkata kepada para pelayan, “Apa pun yang Dia katakan kepadamu, lakukan itu.”","Kata ibu Isa kepada para pelayan, “Lakukanlah apa yang dikatakan-Nya kepadamu.”",
